id,city,addr,tel
1,8,"No. 268, Xin 2nd Road, Xinyi District, Keelung City, 201",02-24292525
2,8,"No. 29, Yuanyuan Road, Nuannuan District, Keelung City, 205",02-24579101
3,8,"No. 100, Zhengrong Street, Zhongzheng District, Keelung City, 202",02-24231735
4,18,"No. 33, Section 2, Zhonghua Road, Zhongzheng District, Taipei City, 100",02-23889595
5,18,"No. 145, Zhengzhou Road, Datong District, Taipei City, 103",02-25523234
6,18,"No. 105, Yusheng Street, Shilin District, Taipei City, 11146",02-28353456#5145
7,18,"No. 87, Tongde Road, Nangang District, Taipei City, 115",02-27861288
8,18,"No. 424, Section 2, Bade Rd, Songshan District, Taipei City, 105",02-27718151
9,18,"No. 131, Jiankang Road, Songshan District, Taipei City, 105",02-27642151
10,18,"No. 199, DunHua N Rd, Songshan District, Taipei City, 105",02-27135211
11,18,"No. 26, Lane 420, Section 5, Chenggong Road, Neihu District, Taipei City, 114",02-26345500
12,18,"No. 270, Section 2, Xiyuan Road, Wanhua District, Taipei City, 108",02-23076968
13,18,"No. 66, Guangfu North Road, Songshan District, Taipei City, 105",02-25786677#2019??978-199960
14,13,"No. 80, Zhongxing Street, Yonghe District, New Taipei City, 234",02-29286060
15,13,"No. 69, Guizi Road, Taishan District, New Taipei City, 243",02-85128888
16,13,"No. 2, Lane 59, Jiancheng Road, Xizhi District, New Taipei City, 221",02-26482121#3910
17,13,"No. 127, Siyuan Rd, Xinzhuang District, New Taipei City, 242",02-22765566
18,13,"No. 399, Fuxing Road, Sanxia District, New Taipei City, 237",02-26723456#6105
19,13,"No. 3, Section 1, New Taipei Blvd, Sanchong District, New Taipei City, 241",02-29829111
20,13,"No. 198, Yingshi Road, Banqiao District, New Taipei City, 220",02-22575151
21,13,"No. 7, Yulu Road, Jinshan District, New Taipei City, 208",02-24989898
22,13,"No. 176, Xinshu Road, Xinzhuang District, New Taipei City, 242",02-29962121
23,13,"No. 9, Wenhua Street, Shulin District, New Taipei City, 238",02-26834567
24,13,"No. 71-2, Yikeng Road, Ruifang District, New Taipei City, 224",02-24974101
25,13,"No. 15, Chezi Rd., Xindian Dist., New Taipei City 231, Taiwan (R.O.C.)",02-22123066
26,13,"No. 6, Sec. 2, Jincheng Rd., Tucheng Dist., New Taipei City 236, Taiwan (R.O.C.)",02-22630588
27,21,"No. 260, Section 2, Zhongshan Road, Yilan City, Yilan County, 260",03-9321888
28,21,"No. 169, Xiaoshe Road, Yilan City, Yilan County, 260",03-9325192
29,21,"No. 386, Rongguang Road, Yuanshan Township, Yilan County 264",03-9222141
30,21,"No. 160, Zhongzheng South Road, Luodong Township, Yilan County, 265",03-9544106
31,21,"No. 301, Section 1, Subin Road, Su'ao Township, Yilan County, 270",03-9905106
32,21,"No. 129, Section 4, Jiaoxi Road, Jiaoxi Township, Yilan County, 262",03-9886996
33,21,"No. 83, Nanchang Street, Luodong Township, Yilan County, 265",03-9543131#1131
34,9,"No. 2, Fuxing Road, Jinhu Township, Kinmen County 891",082-332546#11801
35,13,"No. 2, Lane 50, Section 1, Wanshou Road, Guishan District, Taoyuan City, 333 and No. 794, Zhongzheng Road, Xinzhuang District, New Taipei City, 242",02-82006600
36,20,"No. 6, Xinfu 2nd Road, Xinwu District, Taoyuan City, 327",03-4971989
37,20,"No. 168, Zhongxing Road, Longtan District, Taoyuan City, 325",03-4799595
38,20,"No. 100, Section 3, Chenggong Road, Taoyuan District, Taoyuan City, 330",03-3384889
39,20,"No. 168, Jingguo Road, Taoyuan District, Taoyuan City, 330",03-3179599
40,20,"No. 123, Jianxin Street, Taoyuan District, Taoyuan City, 330",03-3613141
41,20,"No. 30, Lane 321, Yangxin North Road, Yangmei District, Taoyuan City, 326",03-4855566
42,20,"No. 356, Section 1, Zhongshan North Road, Yangmei District, Taoyuan City, 326",03-4782350
43,20,"No. 77, Guangtai Road, Pingzhen District, Taoyuan City, 324?蹍. 115, Lane 430, Section 2, Yanping Road, Pingzhen District Taoyuan City, 324",03-4941234
44,20,"No. 155, Yanping Road, Zhongli District, Taoyuan City, 320",03-4629292
45,4,"No. 3, Wuling Road, North District, Hsinchu City, 300",03-5348181#325117
46,4,"No. 678, Section 2, Zhonghua Rd, East District, Hsinchu City, 300",03-5278999#7999
47,4,"No. 20, Linsen Road, East District, Hsinchu City, 300",03-5261122#150
48,5,"No. 52, Zhishan Road, Zhudong Township, Hsinchu County, 310",03-5943248#1190
49,5,"No. 81, Section 1, Jhongfong Rd, Zhudong Township, Hsinchu County, 310",03-5962134
50,5,"No. 199, Section 1, Xinglong Road, Zhubei City, Hsinchu County, 302",03-5580558
51,5,"No. 2, Sec. 1, Shengyi Rd., Zhubei City, Hsinchu County 302",03-6677600#532324
52,5,"No. 29, Zhongxiao Road, Hukou Township, Hsinchu County, 303",03-5993500#2190
53,5,"No. 6, Ln. 318, Bo'ai St., Zhubei City, Hsinchu County 302, Taiwan (R.O.C.)",03-5557188
54,11,"No. 747, Weigong Road, Miaoli City, Miaoli County, 36054",037-261920
55,11,"No. 128, Xinyi Road, Toufen City, Miaoli County, 351",037-676811
56,11,"No. 168, Heping Road, Yuanli Township, Miaoli County, 358",037-862387
57,11,"No. 48-5, Zhongzheng Road, Dahu Township, Miaoli County, 364",037-997666
58,11,"No. 1037, Zhonghua Rd., Toufen City, Miaoli County 351, Taiwan (R.O.C.)",03-7682666
59,11,"No. 1367, Zhongzheng Rd., Miaoli City, Miaoli County 360, Taiwan (R.O.C.)",03-7352631
60,11,"No. 88, Zhongshan Rd., Tongxi Vil., Tongxiao Township, Miaoli County 357, Taiwan (R.O.C.)",037-759999
61,11,"No. 125, Xindong St., Miaoli City, Miaoli County 360, Taiwan (R.O.C.)",037-320508
62,16,"No. 2, Bade Street, Dajia District, Taichung City, 437",04-26862288
63,16,"No. 483, Dongrong Road, Dali District, Taichung City, 412",04-24819900#11564
64,16,"No. 139, Pingdeng Street, Central District, Taichung City, 400",04-24632000
