name,long,lat
"Keelung Hospital, Ministry of Health and Welfare",121.748322,25.130456
Taiwan Miner's General Hospital,121.733254,25.107904
Tri-Service General Hospital Keelung Branch - Zhengrong Branch,121.764267,25.144625
Taipei City Hospital Heping Branch,121.519236,25.029228
Taipei City Hospital Zhongxing Branch,121.5093209,25.0509696
Taipei City Hospital Yangming Branch,121.5315656,25.105194
Taipei City Hospital Zhongxiao Branch,121.5860755,25.0465327
Taiwan Adventist Hospital,121.547339,25.0480541
Tri-Service General Hospital Songshan Branch,121.557672,25.054373
Taipei Chang Gung Memorial Hospital,121.5496556,25.0555992
Kang-Ning General Hospital,121.6089476,25.0758907
West Garden Hospital,121.494405,25.027743
Pojen General Hospital,121.5576835,25.0499097
Cardinal Tien Hospital An Kang Branch,121.51787,25.011874
Fu Jen Catholic University Hospital,121.430799,25.039676
Cathay General Hospital Sijhih Branch,121.661084,25.072872
"Taipei Hospital, Ministry of Health and Welfare",121.459623,25.043241
En Chu Kong Hospital,121.363008,24.938385
"New Taipei City Hospital, New Taipei City Government (Sanchong Branch)",121.490998,25.060821
"New Taipei City Hospital, New Taipei City Government (Banqiao Branch)",121.457634,25.023779
National Taiwan University Hospital Jinshan Branch,121.628395,25.219556
Hsin-Tai General Hospital,121.434351,25.021432
Ren Ai Hospital,121.420039,24.987188
Rueifang Miner Hospital,121.80217,25.108602
Cardinal Tien Hospital An Kang Branch,121.5038556,24.95367737
"New Taipei City Tucheng Hospital ",121.4487698,24.97632289
Yilan Jen-Ai Hospital,121.754451,24.748723
National Yang-Ming University Hospital,121.754029,24.757853
Taipei Veterans General Hospital Yuanshan Branch,121.687824,24.721919
Saint Mary's Hospital Luodong,121.77159,24.67187
Taipei Veterans General Hospital Su-Ao Branch,121.848611,24.614096
Camillian Hsing-Ho Hospital Chiao Hsi,121.769144,24.820582
"Lotung Pohai Hospital, Lo-Hsu Medical Foundation",121.772942,24.671778
"Kinmen Hospital, Ministry of Health and Welfare",118.4160218,24.4431883
